user_id,total_folder_selections,different_folders_used,days_active_selecting,most_used_folder
RX511244,14,1,2,Medewerker dossier
RZ217228,14,1,2,Medewerker dossier
RO224390,14,2,2,Medewerker dossier
UA011777,13,12,1,Aanstelling
RT168561,13,4,1,Persoonlijk
RO216958,13,6,1,Medewerker dossier
IC193305,13,6,2,Functioneren
RX270979,13,3,1,Medewerker dossier
RX346402,13,5,1,2. Arbeidsvoorwaarden
IC103350,13,4,2,Persoonlijk
RX932295,13,8,1,Persoonlijk
IC185388,13,5,2,Persoonlijk
RX229203,13,5,1,Persoonsgegevens
RY245123,13,5,1,Diversen en bijzonderheden
UA008976,13,10,1,Medewerker dossier
UA005647,13,4,1,Dienstongeval / Beroepsziekte
RO518429,13,1,2,Schade en Ongevallen
RY588080,13,7,2,Persoonlijk
IC290336,13,5,2,Verzuim
RX916576,13,4,1,Medewerker dossier
RX472255,13,7,1,Persoonlijk
RT986224,13,4,1,Dienstverbandgegevens
RW625023,13,1,2,Medewerker dossier
IC273890,13,1,2,Verzuim
RY782449,13,8,2,Medewerker dossier
RZ336780,13,6,1,Functie en ontwikkeling
RZ205873,13,1,2,Arbeidsvoorwaarden
RX451596,13,9,1,Opleiding
RX396830,13,4,2,Medewerker dossier
IC204035,13,4,1,Einde dienstverband
RY867831,13,7,2,09 Ontslag
IC175246,13,6,1,Dienstverbanden
IC209142,13,6,1,Loopbaan
RW690429,13,11,1,Aanstellingsgegevens
RV644673,13,1,2,Medewerker dossier
IC217927,13,2,2,Medewerker dossier
RY798383,13,6,1,Verzuim
RY871083,13,5,2,Overige documenten
RQ591021,13,5,1,Arbeidsvoorwaarden
IC256860,13,3,2,Medewerker dossier
IC284692,13,3,1,Medewerker dossier
IC240266,13,3,1,Flex Benefits
RT948329,13,8,1,Verslag gesprekkencyclus
IC221878,12,1,2,Verlof
RO484653,12,2,1,Medewerker dossier
RY588333,12,2,2,Medewerker dossier
IC257468,12,3,1,Verlof
RY830799,12,7,1,Persoonlijk
IC246870,12,5,1,Verlof
IC217855,12,3,2,Opleiding/cursussen
RY997237,12,1,1,Medewerker dossier
RY625930,12,8,1,Medewerker dossier
RU637105,12,10,1,Arbeidsvoorwaarden
IC290871,12,6,1,Medewerker dossier
RO214268,12,1,1,Medewerker dossier
RZ252149,12,3,1,Arbeidsvoorwaarden
RZ206515,12,6,2,Functioneren / beoordelen
IC295519,12,6,2,Dienstverbanden
RY303082,12,5,1,2. Arbeidsvoorwaarden
RO287903,12,5,1,Persoonlijk
IC256752,12,3,1,Dienstongeval / Beroepsziekte
RP419881,12,6,1,Loopbaan / personeelsontwikkeling
RZ266791,12,6,1,Persoonlijk
RW496622,12,8,1,Inzetbaarheid
RO733233,12,2,2,Verlof
RQ531090,12,9,1,Persoonlijk
RY1034599,12,3,2,Medewerker dossier
RX135597,12,2,1,Persoonlijk
RP336825,12,3,1,08. Verlof
RQ889297,12,8,1,Verzuim
RY826203,12,8,1,Contracten/aov
RY822920,12,6,1,Persoonlijk
RY678565,12,4,1,Arbeidsvoorwaarden
RY584195,12,7,1,Contracten
RY992570,12,12,1,05.2 Persoonlijke ontwikkelingen
IC208282,12,3,1,Arbeidsvoorwaarden
RY342778,12,9,1,Indiensttreding
RQ346970,12,4,1,Persoonlijk
RU107301,12,10,1,Dienstverbandgegevens
RO393709,12,2,1,Medewerker dossier
RO337298,12,9,1,99. Historie
RV648271,12,7,1,Overeenkomsten
RY108875,12,9,1,Arbeidsomstandigheden
RQ531161,12,11,1,Persoonlijk
RY815217,12,7,2,Personeelsdossier
IC231270,12,4,1,Arbeidsvoorwaarden
RW744108,11,3,2,01. Dienstverband
RY991071,11,9,1,Loopbaan / personeelsontwikkeling
RY544009,11,7,1,Arbeidsvoorwaarden/belonen
RV477456,11,3,2,Arbeidsvoorwaarden
