user_id,total_filters,different_fields_used,days_active_filtering,most_used_field
RY890866,8,2,2,medewerkerNaam
UA007008,8,2,1,datumUitDienst
RO984300,8,3,1,datumUitDienst
RT318605,8,2,1,datumUitDienst
RX820031,8,2,1,medewerkerCode
IC258860,8,3,1,medewerkerNaam
RO287903,8,2,2,medewerkerNaam
RW208997,8,2,1,datumUitDienst
RV841314,8,2,2,medewerkerNaam
RV707052,8,2,1,datumUitDienst
IC271778,8,2,1,medewerkerCode
RY952360,8,2,2,datumUitDienst
IC256798,8,2,1,datumUitDienst
RY746732,8,2,2,medewerkerNaam
RQ522350,8,2,2,datumUitDienst
IC263715,8,2,2,datumUitDienst
UA001727,8,2,1,medewerkerCode
UA008181,8,2,2,medewerkerNaam
IC223334,8,2,1,medewerkerCode
RP238106,8,2,1,medewerkerNaam
RZ207705,8,2,2,medewerkerNaam
IC262849,8,3,1,datumUitDienst
RO947859,8,2,2,medewerkerNaam
RY624425,8,2,2,medewerkerNaam
IC231270,8,3,1,datumUitDienst
RX127644,8,2,1,medewerkerNaam
RQ474035,8,2,2,datumUitDienst
RT368917,8,2,2,medewerkerNaam
RZ206569,8,2,2,datumUitDienst
RZ241899,8,2,1,medewerkerNaam
RO172466,8,2,2,medewerkerNaam
IC282292,8,2,2,medewerkerNaam
RW912949,8,2,1,medewerkerNaam
RV760235,8,2,1,datumUitDienst
RW776736,8,2,1,datumUitDienst
UA007277,8,3,1,datumUitDienst
RY831798,8,2,2,datumUitDienst
RX785351,8,2,1,medewerkerNaam
RZ330518,8,2,1,datumUitDienst
IC195196,8,2,2,medewerkerNaam
RU316313,8,2,1,datumUitDienst
RY991185,8,2,2,datumUitDienst
RW921851,8,2,1,medewerkerNaam
RY1008299,8,2,2,medewerkerNaam
RY415819,8,2,1,datumUitDienst
RP193647,8,2,2,datumUitDienst
RZ288520,8,2,2,medewerkerNaam
IC251711,8,2,1,medewerkerNaam
RX887063,8,2,1,datumUitDienst
RZ291188,8,3,2,datumUitDienst
IC224261,8,2,1,datumUitDienst
IC281686,8,2,2,medewerkerCode
RV503979,8,2,2,medewerkerNaam
RY871794,8,2,1,medewerkerCode
RQ512186,8,2,2,medewerkerNaam
UA009608,8,2,2,datumUitDienst
RY952476,8,2,2,medewerkerNaam
RZ278039,8,2,2,medewerkerNaam
RQ479235,8,2,2,medewerkerNaam
RX681589,8,2,2,datumUitDienst
RO287783,8,2,2,medewerkerNaam
RY589787,8,3,2,datumUitDienst
RP238320,8,3,2,datumUitDienst
RT936312,8,2,2,medewerkerCode
RY701454,8,3,2,datumUitDienst
RZ325444,8,2,2,datumUitDienst
IC103908,8,2,2,medewerkerCode
RZ180728,8,2,2,datumUitDienst
RU731199,8,2,2,datumUitDienst
RV852567,8,2,2,datumUitDienst
IC214132,8,2,2,medewerkerNaam
RO398329,8,3,1,datumUitDienst
RZ219374,8,2,2,datumUitDienst
IC284958,8,2,2,datumUitDienst
RY154121,8,2,2,datumUitDienst
RV472074,8,2,2,medewerkerNaam
RO650844,8,2,1,datumUitDienst
RW570866,8,3,2,datumUitDienst
RY419700,8,3,1,medewerkerNaam
RZ222445,8,2,1,medewerkerNaam
RT527432,8,2,1,medewerkerNaam
RX825350,8,2,2,datumUitDienst
RW107968,8,2,2,medewerkerNaam
RT101731,8,2,1,datumUitDienst
RT243296,8,2,1,datumUitDienst
IC208286,8,2,2,medewerkerCode
RZ308209,8,2,1,medewerkerNaam
RY963722,8,2,2,datumUitDienst
IC296256,8,3,1,medewerkerNaam
RY194110,8,2,2,medewerkerNaam
RZ326188,8,3,1,datumUitDienst
RY502667,8,3,2,datumUitDienst
RX927955,8,2,2,datumUitDienst
RZ246633,8,2,1,medewerkerNaam
RY855770,8,2,2,datumUitDienst
RX764374,7,3,2,datumUitDienst
RY737737,7,3,2,medewerkerCode
IC265066,7,2,2,medewerkerCode
RY148081,7,3,1,datumUitDienst
IC199530,7,2,1,medewerkerNaam
RU266989,7,3,2,datumUitDienst
RZ274471,7,3,2,medewerkerCode
RY956189,7,2,1,medewerkerNaam
IC124533,7,3,1,medewerkerCode
RU698332,7,2,2,medewerkerNaam
RQ130919,7,3,2,medewerkerNaam
RX492708,7,2,1,datumUitDienst
RY625991,7,2,1,medewerkerNaam
IC122495,7,3,2,medewerkerNaam
RO175811,7,3,2,datumUitDienst
RP339453,7,2,2,datumUitDienst
RX617321,7,2,1,medewerkerCode
RX217516,7,3,2,datumUitDienst
RX817250,7,3,1,datumUitDienst
RX507155,7,1,2,medewerkerNaam
RX780891,7,3,2,datumUitDienst
IC217722,7,4,2,datumUitDienst
IC284341,7,2,2,medewerkerNaam
RY544433,7,3,1,medewerkerGeboortedatum
RU523900,7,3,1,datumUitDienst
RO518747,7,3,2,datumUitDienst
RX824548,6,2,1,medewerkerNaam
RW611550,6,2,1,medewerkerNaam
RW633321,6,2,1,datumUitDienst
RZ206515,6,2,2,medewerkerNaam
RX295133,6,2,1,medewerkerNaam
RY866165,6,2,2,medewerkerNaam
RT341366,6,2,2,datumUitDienst
IC209170,6,2,2,medewerkerCode
UA000583,6,2,1,datumUitDienst
RW103167,6,2,2,medewerkerNaam
RX823811,6,2,1,medewerkerNaam
RV818477,6,2,2,medewerkerNaam
RY964362,6,2,1,datumUitDienst
RV741822,6,2,1,medewerkerNaam
RY100437,6,2,2,datumUitDienst
RY698281,6,3,2,datumUitDienst
RT104390,6,2,1,datumUitDienst
RO682791,6,3,1,datumUitDienst
RY588333,6,2,2,datumUitDienst
RY1010985,6,2,1,datumUitDienst
RY579433,6,2,2,datumUitDienst
RV622478,6,2,2,medewerkerNaam
IC216342,6,2,1,datumUitDienst
RY1010489,6,2,1,medewerkerNaam
RT116402,6,2,2,datumUitDienst
